STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,MEASURE,Mesure,FREQ,Fréquence d'observation,TIME_PERIOD,Période de temps,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MEASURE,Unité de mesure,UNIT_MULT,Multiplicateur d'unité,CURRENCY,Monnaie,BASE_PER,Période de base,METHODOLOGY,Méthode,DECIMALS,Decimals,PRICE_BASE,Ajustement,ADJUSTMENT,Base de prix
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2007-Q1,,1.84849213265187,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2006-Q4,,1.51018150027836,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2006-Q3,,1.48211477071905,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2006-Q2,,1.43581628800561,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,1999-Q4,,1.03043551414034,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,1999-Q3,,1.12556927723662,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,1999-Q2,,1.18684121364757,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,1999-Q1,,1.40433337533851,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2019-Q3,,0.964494234711722,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,EA17,Zone euro (17 pays),PCOREH_YTYPCT,Inflation sous-jacente harmonisée,Q,Trimestrielle,2019-Q2,,1.03040246030481,,,,GR,Taux de croissance,0,Units,,,2021,,,,2,Two,,,,
