DATAFLOW,LAST UPDATE,freq,unit,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2008-Q1,1924.3,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2008-Q2,2281.3,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2008-Q3,2257.7,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2008-Q4,2338.9,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2009-Q1,1992.2,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2009-Q2,2352.2,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2009-Q3,2201.3,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2009-Q4,2114.9,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2010-Q1,1955.4,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2010-Q2,2377.0,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2010-Q3,2297.0,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2010-Q4,2369.8,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2011-Q1,2126.6,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2011-Q2,2308.1,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2011-Q3,2313.2,,
ESTAT:NAMQ_10_GDP(1.0),31/01/25 11:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Albania,2011-Q4,2519.6,,
