DATAFLOW,LAST UPDATE,freq,int_rt,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:IRT_ST_Q(1.0),08/01/25 11:00:00,Quarterly,Day-to-day rate,Bulgaria,1995-Q1,75.66,,
ESTAT:IRT_ST_Q(1.0),08/01/25 11:00:00,Quarterly,Day-to-day rate,Bulgaria,1995-Q2,60.11,,
ESTAT:IRT_ST_Q(1.0),08/01/25 11:00:00,Quarterly,Day-to-day rate,Bulgaria,1995-Q3,39.59,,
ESTAT:IRT_ST_Q(1.0),08/01/25 11:00:00,Quarterly,Day-to-day rate,Bulgaria,1995-Q4,36.67,,
ESTAT:IRT_ST_Q(1.0),08/01/25 11:00:00,Quarterly,Day-to-day rate,Bulgaria,1996-Q1,44.34,,
ESTAT:IRT_ST_Q(1.0),08/01/25 11:00:00,Quarterly,Day-to-day rate,Bulgaria,1996-Q2,85.73,,
ESTAT:IRT_ST_Q(1.0),08/01/25 11:00:00,Quarterly,Day-to-day rate,Bulgaria,1996-Q3,133.83,,
ESTAT:IRT_ST_Q(1.0),08/01/25 11:00:00,Quarterly,Day-to-day rate,Bulgaria,1996-Q4,214.98,,
ESTAT:IRT_ST_Q(1.0),08/01/25 11:00:00,Quarterly,Day-to-day rate,Bulgaria,1997-Q1,179.14,,
ESTAT:IRT_ST_Q(1.0),08/01/25 11:00:00,Quarterly,Day-to-day rate,Bulgaria,1997-Q2,67.35,,
ESTAT:IRT_ST_Q(1.0),08/01/25 11:00:00,Quarterly,Day-to-day rate,Bulgaria,1997-Q3,2.17,,
ESTAT:IRT_ST_Q(1.0),08/01/25 11:00:00,Quarterly,Day-to-day rate,Bulgaria,1997-Q4,1.49,,
ESTAT:IRT_ST_Q(1.0),08/01/25 11:00:00,Quarterly,Day-to-day rate,Bulgaria,1998-Q1,1.90,,
ESTAT:IRT_ST_Q(1.0),08/01/25 11:00:00,Quarterly,Day-to-day rate,Bulgaria,1998-Q2,2.23,,
ESTAT:IRT_ST_Q(1.0),08/01/25 11:00:00,Quarterly,Day-to-day rate,Bulgaria,1998-Q3,2.67,,
ESTAT:IRT_ST_Q(1.0),08/01/25 11:00:00,Quarterly,Day-to-day rate,Bulgaria,1998-Q4,2.58,,
ESTAT:IRT_ST_Q(1.0),08/01/25 11:00:00,Quarterly,Day-to-day rate,Bulgaria,1999-Q1,2.50,,
ESTAT:IRT_ST_Q(1.0),08/01/25 11:00:00,Quarterly,Day-to-day rate,Bulgaria,1999-Q2,2.58,,
ESTAT:IRT_ST_Q(1.0),08/01/25 11:00:00,Quarterly,Day-to-day rate,Bulgaria,1999-Q3,2.77,,
ESTAT:IRT_ST_Q(1.0),08/01/25 11:00:00,Quarterly,Day-to-day rate,Bulgaria,1999-Q4,2.51,,
ESTAT:IRT_ST_Q(1.0),08/01/25 11:00:00,Quarterly,Day-to-day rate,Bulgaria,2000-Q1,1.61,,
